    #Configuration:
    CALCULUS_METHOD:    1               # 0: basic, 1: jerk, 2:basic_Schwarzschild, 3: jerk_Schwarzschild
    SIMULATION_STEPS:   288000000
    STEPS_PER_PLOT:     240             # 4*60
    STEP_TIME:          60              # Seconds
    START_EPOCH_TIME:   1520294400      # Epoc of 2018-Mar-06 00:00:00.0000 TDB. 
    METERS_PER_PIXEL:   1.0e-10         # UNIX Epoch time is the number of seconds that have elapsed since 
                                        # 00:00:00 Coordinated Universal Time (UTC), Thursday, 1 January 1970. 
                                        # [https://en.wikipedia.org/wiki/Unix_time]
    MAX_ORBIT_POINTS:   50000           # Avoid hard graphic computing, try to use less than 10000
    SCREEN_PERCENT:     50              # Size of screen in % 
    SCREEN_RESIZABLE:   true            # true or false
    COLOR_SCREEN:       21,21,21        # Screen color in R,G,B
    COLOR_DATE:         255,0,0         # Screen color in R,G,B
    COLOR_SCALE:        0,255,0         # Screen color in R,G,B
    COLOR_ANGLE:        102,255,255     # Screen color in R,G,B    
#   SYSTEM_SPEED_X:     0               # System speed x in (km/s)
#   SYSTEM_SPEED_Y:     0               # System speed y in (km/s)
#   SYSTEM_SPEED_Z:     -200            # System speed z in (km/s)

#   Name,    mass (Kg),   radio(m),               x0 (km) ,               y0 (km) ,                z0 (km),             vx0 (km/s),             vy0 (km/s),             vz0 (km/s),   R,   G,   B"""
KALE            ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.13982112295572400E+08, -5.39032213173640847E+08,  1.47267014218938965E+07,  9.99084489355707994E+00, -7.56125700225346176E+00,  3.41210482162122908E-01, 141, 79, 154
PASITHEE        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.11527177516259670E+08, -5.56538718875262856E+08,  1.26442498482078612E+07,  9.13250386763861322E+00, -6.39896945142053930E+00, -5.58652184543190544E-01, 200, 103, 191
HEGEMONE        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.84703581394541740E+08, -5.83868184257471919E+08,  2.66018169575495534E+07,  7.30849528992839925E+00, -8.74283341591665142E+00, -5.86332385765739872E-01, 184, 149, 99
MNEME           ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.15524967647006154E+08, -5.50457425079992771E+08,  2.73997960608059121E+06,  8.84723056018590448E+00, -7.21113278541865643E+00, -4.14062084957796783E-01, 97, 76, 106
AOEDE           ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.67815835566542864E+08, -5.68495384768156886E+08,  3.10483482016536547E+06,  8.67788444306673057E+00, -1.06359458870285000E+01, -8.51810257122611603E-02, 101, 81, 147
THELXINOE       ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.89997678105005860E+08, -5.32527731243837178E+08,  2.30585130295553543E+07,  1.08498419410389371E+01, -8.57129372926560862E+00, -9.46573292546423861E-01, 107, 64, 79
ARCHE           ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.84146546215089202E+08, -5.35190865974745393E+08,  1.38237052263184190E+07,  1.14023109439831067E+01, -9.10460651736964444E+00,  3.23555053386877511E-01, 86, 101, 119
KALLICHORE      ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.95922597469287276E+08, -5.77050920528392673E+08,  1.29640147686921954E+07,  6.54285154567445826E+00, -8.83790034954013137E+00, -6.77101795497197401E-01, 74, 174, 164
HELIKE          ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.91837836747696042E+08, -5.73987252341005325E+08,  6.94083179871502519E+06,  6.51065551397451614E+00, -8.28608095850380622E+00, -4.95852985737986918E-01, 147, 117, 161
CARPO           ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.86744592474469543E+08, -5.67029869120344639E+08, -2.80396942476436542E+06,  1.03164406887151365E+01, -8.03165501060353648E+00,  4.83715568995230216E-01, 135, 141, 172
EUKELADE        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.67247319528787255E+08, -5.43945237793715954E+08,  8.72818890371111222E+06,  9.32785811833791279E+00, -1.08659145731472400E+01, -3.40637634065601991E-01, 145, 102, 200
CYLLENE         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.75968809522227645E+08, -5.74677815657058716E+08,  2.13000897582974732E+07,  7.91123186573135406E+00, -1.04666700578447394E+01,  8.29795594270919978E-01, 87, 130, 135
KORE            ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.69877942171681166E+08, -5.66909270499578595E+08,  3.12901290911476426E+07,  7.49118856736270455E+00, -1.00343572491813120E+01,  3.81426548111232666E-01, 169, 166, 134
HERSE           ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.17871655027987242E+08, -5.42307452206548691E+08,  1.28348254689311106E+07,  9.17973150013423123E+00, -7.29051529553107880E+00, -6.33736188796465871E-01, 198, 93, 160
DIA             ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.78197240222304702E+08, -5.55178473260993838E+08,  2.21060585935157798E+07,  8.64674870961396813E+00, -6.21883262404185100E+00, -2.71175158442639452E-01, 134, 118, 140
# Saturn system
SATURN          ,  5.68335863243896294E+26,  5.82320000000000000E+07,  5.76291934479983225E+07, -1.50352996556651855E+09,  2.38479757629297934E+07,  9.12039853465959993E+00,  3.39235515888614281E-01, -3.69023269863746894E-01, 255, 255, 255
# Uranus system
URANUS          ,  8.68126937466511234E+25,  2.53620000000000000E+07,  2.63374202231387281E+09,  1.38747277182344341E+09, -2.89674311894115843E+07, -3.22410576778298896E+00,  5.70766699933016142E+00,  6.30489858704770256E-02, 255, 255, 255
# Neptune system
NEPTUNE         ,  1.02412562109093295E+26,  2.46240000000000000E+07,  4.29903808423915482E+09, -1.25629578986986876E+09, -7.32046053651993871E+07,  1.48921423148281540E+00,  5.24973832117536165E+00, -1.42699167097798618E-01, 255, 255, 255
